FIPS,Year,State,ST,FIPS State,County,Population,"Estimated Age-adjusted Death Rate, 11 Categories (in ranges)"
01001,1999,Alabama,AL,1,"Autauga County, AL",42963,4
01001,2000,Alabama,AL,1,"Autauga County, AL",44021,6
01001,2001,Alabama,AL,1,"Autauga County, AL",44889,6
01001,2002,Alabama,AL,1,"Autauga County, AL",45909,6
01001,2003,Alabama,AL,1,"Autauga County, AL",46800,6
01001,2004,Alabama,AL,1,"Autauga County, AL",48366,6
01001,2005,Alabama,AL,1,"Autauga County, AL",49676,6
01001,2006,Alabama,AL,1,"Autauga County, AL",51328,8
01001,2007,Alabama,AL,1,"Autauga County, AL",52405,8
01001,2008,Alabama,AL,1,"Autauga County, AL",53277,8
01001,2009,Alabama,AL,1,"Autauga County, AL",54135,8
01001,2010,Alabama,AL,1,"Autauga County, AL",54684,10
01001,2011,Alabama,AL,1,"Autauga County, AL",55275,10
01001,2012,Alabama,AL,1,"Autauga County, AL",55192,10
01001,2013,Alabama,AL,1,"Autauga County, AL",55136,12
01001,2014,Alabama,AL,1,"Autauga County, AL",55395,12
01003,1999,Alabama,AL,1,"Baldwin County, AL",137555,8
01003,2000,Alabama,AL,1,"Baldwin County, AL",141342,10
01003,2001,Alabama,AL,1,"Baldwin County, AL",144875,10
01003,2002,Alabama,AL,1,"Baldwin County, AL",147957,10
01003,2003,Alabama,AL,1,"Baldwin County, AL",151509,10
01003,2004,Alabama,AL,1,"Baldwin County, AL",156266,12
01003,2005,Alabama,AL,1,"Baldwin County, AL",162183,12
01003,2006,Alabama,AL,1,"Baldwin County, AL",168121,12
01003,2007,Alabama,AL,1,"Baldwin County, AL",172404,14
01003,2008,Alabama,AL,1,"Baldwin County, AL",175827,14
01003,2009,Alabama,AL,1,"Baldwin County, AL",179406,16
01003,2010,Alabama,AL,1,"Baldwin County, AL",183216,16
01003,2011,Alabama,AL,1,"Baldwin County, AL",186694,18
01003,2012,Alabama,AL,1,"Baldwin County, AL",190561,18
01003,2013,Alabama,AL,1,"Baldwin County, AL",195443,20
01003,2014,Alabama,AL,1,"Baldwin County, AL",200111,20
01005,1999,Alabama,AL,1,"Barbour County, AL",28866,2
01005,2000,Alabama,AL,1,"Barbour County, AL",29015,2
01005,2001,Alabama,AL,1,"Barbour County, AL",28863,2
01005,2002,Alabama,AL,1,"Barbour County, AL",28653,4
01005,2003,Alabama,AL,1,"Barbour County, AL",28594,4
01005,2004,Alabama,AL,1,"Barbour County, AL",28287,4
01005,2005,Alabama,AL,1,"Barbour County, AL",28027,4
01005,2006,Alabama,AL,1,"Barbour County, AL",27861,4
01005,2007,Alabama,AL,1,"Barbour County, AL",27757,4
01005,2008,Alabama,AL,1,"Barbour County, AL",27808,4
01005,2009,Alabama,AL,1,"Barbour County, AL",27657,6
01005,2010,Alabama,AL,1,"Barbour County, AL",27336,6
01005,2011,Alabama,AL,1,"Barbour County, AL",27225,6
01005,2012,Alabama,AL,1,"Barbour County, AL",27169,6
01005,2013,Alabama,AL,1,"Barbour County, AL",26978,8
01005,2014,Alabama,AL,1,"Barbour County, AL",26887,8
01007,1999,Alabama,AL,1,"Bibb County, AL",20560,4
01007,2000,Alabama,AL,1,"Bibb County, AL",19913,4
01007,2001,Alabama,AL,1,"Bibb County, AL",21028,4
01007,2002,Alabama,AL,1,"Bibb County, AL",21199,6
01007,2003,Alabama,AL,1,"Bibb County, AL",21399,6
01007,2004,Alabama,AL,1,"Bibb County, AL",21721,6
01007,2005,Alabama,AL,1,"Bibb County, AL",22042,8
01007,2006,Alabama,AL,1,"Bibb County, AL",22099,8
01007,2007,Alabama,AL,1,"Bibb County, AL",22438,8
01007,2008,Alabama,AL,1,"Bibb County, AL",22705,10
01007,2009,Alabama,AL,1,"Bibb County, AL",22941,10
01007,2010,Alabama,AL,1,"Bibb County, AL",22879,12
01007,2011,Alabama,AL,1,"Bibb County, AL",22740,12
01007,2012,Alabama,AL,1,"Bibb County, AL",22634,14
01007,2013,Alabama,AL,1,"Bibb County, AL",22504,14
01007,2014,Alabama,AL,1,"Bibb County, AL",22506,16
01009,1999,Alabama,AL,1,"Blount County, AL",50237,6
01009,2000,Alabama,AL,1,"Blount County, AL",51107,6
01009,2001,Alabama,AL,1,"Blount County, AL",51845,8
01009,2002,Alabama,AL,1,"Blount County, AL",52551,8
01009,2003,Alabama,AL,1,"Blount County, AL",53457,8
01009,2004,Alabama,AL,1,"Blount County, AL",54124,8
01009,2005,Alabama,AL,1,"Blount County, AL",54624,10
01009,2006,Alabama,AL,1,"Blount County, AL",55485,10
01009,2007,Alabama,AL,1,"Blount County, AL",56240,10
01009,2008,Alabama,AL,1,"Blount County, AL",57055,12
01009,2009,Alabama,AL,1,"Blount County, AL",57341,12
01009,2010,Alabama,AL,1,"Blount County, AL",57344,12
01009,2011,Alabama,AL,1,"Blount County, AL",57694,14
01009,2012,Alabama,AL,1,"Blount County, AL",57748,14
01009,2013,Alabama,AL,1,"Blount County, AL",57720,16
01009,2014,Alabama,AL,1,"Blount County, AL",57719,16
01011,1999,Alabama,AL,1,"Bullock County, AL",11755,2
01011,2000,Alabama,AL,1,"Bullock County, AL",11581,2
01011,2001,Alabama,AL,1,"Bullock County, AL",11358,2
01011,2002,Alabama,AL,1,"Bullock County, AL",11256,2
01011,2003,Alabama,AL,1,"Bullock County, AL",11316,2
01011,2004,Alabama,AL,1,"Bullock County, AL",11056,4
01011,2005,Alabama,AL,1,"Bullock County, AL",11011,4
01011,2006,Alabama,AL,1,"Bullock County, AL",10776,4
01011,2007,Alabama,AL,1,"Bullock County, AL",11011,4
01011,2008,Alabama,AL,1,"Bullock County, AL",10953,4
01011,2009,Alabama,AL,1,"Bullock County, AL",10987,6
01011,2010,Alabama,AL,1,"Bullock County, AL",10886,6
01011,2011,Alabama,AL,1,"Bullock County, AL",10623,6
01011,2012,Alabama,AL,1,"Bullock County, AL",10589,8
01011,2013,Alabama,AL,1,"Bullock County, AL",10605,8
01011,2014,Alabama,AL,1,"Bullock County, AL",10764,10
01013,1999,Alabama,AL,1,"Butler County, AL",21605,2
01013,2000,Alabama,AL,1,"Butler County, AL",21325,4
01013,2001,Alabama,AL,1,"Butler County, AL",21139,4
01013,2002,Alabama,AL,1,"Butler County, AL",20803,4
01013,2003,Alabama,AL,1,"Butler County, AL",20833,4
01013,2004,Alabama,AL,1,"Butler County, AL",20870,4
01013,2005,Alabama,AL,1,"Butler County, AL",20830,4
01013,2006,Alabama,AL,1,"Butler County, AL",20815,6
01013,2007,Alabama,AL,1,"Butler County, AL",20894,6
01013,2008,Alabama,AL,1,"Butler County, AL",20949,6
01013,2009,Alabama,AL,1,"Butler County, AL",20867,6
01013,2010,Alabama,AL,1,"Butler County, AL",20945,8
01013,2011,Alabama,AL,1,"Butler County, AL",20676,8
01013,2012,Alabama,AL,1,"Butler County, AL",20409,8
01013,2013,Alabama,AL,1,"Butler County, AL",20289,10
01013,2014,Alabama,AL,1,"Butler County, AL",20296,10
01015,1999,Alabama,AL,1,"Calhoun County, AL",114910,6
01015,2000,Alabama,AL,1,"Calhoun County, AL",111081,6
01015,2001,Alabama,AL,1,"Calhoun County, AL",111266,6
01015,2002,Alabama,AL,1,"Calhoun County, AL",111625,6
01015,2003,Alabama,AL,1,"Calhoun County, AL",112705,6
01015,2004,Alabama,AL,1,"Calhoun County, AL",113462,8
01015,2005,Alabama,AL,1,"Calhoun County, AL",114477,8
01015,2006,Alabama,AL,1,"Calhoun County, AL",115388,8
01015,2007,Alabama,AL,1,"Calhoun County, AL",116211,8
01015,2008,Alabama,AL,1,"Calhoun County, AL",117274,10
01015,2009,Alabama,AL,1,"Calhoun County, AL",118363,10
01015,2010,Alabama,AL,1,"Calhoun County, AL",118443,10
01015,2011,Alabama,AL,1,"Calhoun County, AL",117760,10
01015,2012,Alabama,AL,1,"Calhoun County, AL",117264,12
01015,2013,Alabama,AL,1,"Calhoun County, AL",116547,12
01015,2014,Alabama,AL,1,"Calhoun County, AL",115916,12
01017,1999,Alabama,AL,1,"Chambers County, AL",36527,6
01017,2000,Alabama,AL,1,"Chambers County, AL",36571,6
01017,2001,Alabama,AL,1,"Chambers County, AL",36274,6
01017,2002,Alabama,AL,1,"Chambers County, AL",35965,6
01017,2003,Alabama,AL,1,"Chambers County, AL",35680,6
01017,2004,Alabama,AL,1,"Chambers County, AL",35463,8
01017,2005,Alabama,AL,1,"Chambers County, AL",35279,8
01017,2006,Alabama,AL,1,"Chambers County, AL",34945,8
01017,2007,Alabama,AL,1,"Chambers County, AL",34847,8
01017,2008,Alabama,AL,1,"Chambers County, AL",34563,10
01017,2009,Alabama,AL,1,"Chambers County, AL",34384,10
01017,2010,Alabama,AL,1,"Chambers County, AL",34111,10
01017,2011,Alabama,AL,1,"Chambers County, AL",34004,12
01017,2012,Alabama,AL,1,"Chambers County, AL",34087,12
01017,2013,Alabama,AL,1,"Chambers County, AL",34175,12
01017,2014,Alabama,AL,1,"Chambers County, AL",34076,14
01019,1999,Alabama,AL,1,"Cherokee County, AL",23605,6
01019,2000,Alabama,AL,1,"Cherokee County, AL",24006,6
01019,2001,Alabama,AL,1,"Cherokee County, AL",24182,6
01019,2002,Alabama,AL,1,"Cherokee County, AL",24403,6
01019,2003,Alabama,AL,1,"Cherokee County, AL",24591,8
01019,2004,Alabama,AL,1,"Cherokee County, AL",24887,8
01019,2005,Alabama,AL,1,"Cherokee County, AL",25031,8
01019,2006,Alabama,AL,1,"Cherokee County, AL",25466,10
01019,2007,Alabama,AL,1,"Cherokee County, AL",25553,10
01019,2008,Alabama,AL,1,"Cherokee County, AL",25636,10
01019,2009,Alabama,AL,1,"Cherokee County, AL",25854,12
01019,2010,Alabama,AL,1,"Cherokee County, AL",25968,12
01019,2011,Alabama,AL,1,"Cherokee County, AL",26073,14
01019,2012,Alabama,AL,1,"Cherokee County, AL",26017,14
01019,2013,Alabama,AL,1,"Cherokee County, AL",26115,16
01019,2014,Alabama,AL,1,"Cherokee County, AL",26037,16
01021,1999,Alabama,AL,1,"Chilton County, AL",38862,8
01021,2000,Alabama,AL,1,"Chilton County, AL",39897,8
01021,2001,Alabama,AL,1,"Chilton County, AL",40197,8
01021,2002,Alabama,AL,1,"Chilton County, AL",40683,8
01021,2003,Alabama,AL,1,"Chilton County, AL",41079,10
01021,2004,Alabama,AL,1,"Chilton County, AL",41534,10
01021,2005,Alabama,AL,1,"Chilton County, AL",41946,10
01021,2006,Alabama,AL,1,"Chilton County, AL",42318,12
01021,2007,Alabama,AL,1,"Chilton County, AL",42881,12
01021,2008,Alabama,AL,1,"Chilton County, AL",43239,12
01021,2009,Alabama,AL,1,"Chilton County, AL",43484,14
01021,2010,Alabama,AL,1,"Chilton County, AL",43682,14
01021,2011,Alabama,AL,1,"Chilton County, AL",43749,16
01021,2012,Alabama,AL,1,"Chilton County, AL",43709,16
01021,2013,Alabama,AL,1,"Chilton County, AL",43836,18
01021,2014,Alabama,AL,1,"Chilton County, AL",43931,18
01023,1999,Alabama,AL,1,"Choctaw County, AL",15931,2
01023,2000,Alabama,AL,1,"Choctaw County, AL",15875,2
01023,2001,Alabama,AL,1,"Choctaw County, AL",15677,2
01023,2002,Alabama,AL,1,"Choctaw County, AL",15367,2
01023,2003,Alabama,AL,1,"Choctaw County, AL",15199,4
01023,2004,Alabama,AL,1,"Choctaw County, AL",14930,4
01023,2005,Alabama,AL,1,"Choctaw County, AL",14545,4
01023,2006,Alabama,AL,1,"Choctaw County, AL",14431,4
16025,2004,Idaho,ID,16,"Camas County, ID",1022,2
01023,2007,Alabama,AL,1,"Choctaw County, AL",14216,6
01023,2008,Alabama,AL,1,"Choctaw County, AL",14114,6
01023,2009,Alabama,AL,1,"Choctaw County, AL",13976,6
01023,2010,Alabama,AL,1,"Choctaw County, AL",13849,8
01023,2011,Alabama,AL,1,"Choctaw County, AL",13604,8
01023,2012,Alabama,AL,1,"Choctaw County, AL",13559,10
01023,2013,Alabama,AL,1,"Choctaw County, AL",13397,10
01023,2014,Alabama,AL,1,"Choctaw County, AL",13323,12
01025,1999,Alabama,AL,1,"Clarke County, AL",27919,2
01025,2000,Alabama,AL,1,"Clarke County, AL",27819,2
01025,2001,Alabama,AL,1,"Clarke County, AL",27624,2
01025,2002,Alabama,AL,1,"Clarke County, AL",27267,4
01025,2003,Alabama,AL,1,"Clarke County, AL",27090,4
01025,2004,Alabama,AL,1,"Clarke County, AL",26958,4
01025,2005,Alabama,AL,1,"Clarke County, AL",26764,4
01025,2006,Alabama,AL,1,"Clarke County, AL",26755,4
01025,2007,Alabama,AL,1,"Clarke County, AL",26436,6
01025,2008,Alabama,AL,1,"Clarke County, AL",26283,6
01025,2009,Alabama,AL,1,"Clarke County, AL",26038,6
01025,2010,Alabama,AL,1,"Clarke County, AL",25782,6
01025,2011,Alabama,AL,1,"Clarke County, AL",25592,8
01025,2012,Alabama,AL,1,"Clarke County, AL",25168,8
01025,2013,Alabama,AL,1,"Clarke County, AL",25166,8
01025,2014,Alabama,AL,1,"Clarke County, AL",24945,10
01027,1999,Alabama,AL,1,"Clay County, AL",14174,2
01027,2000,Alabama,AL,1,"Clay County, AL",14263,2
01027,2001,Alabama,AL,1,"Clay County, AL",14298,2
01027,2002,Alabama,AL,1,"Clay County, AL",14257,2
01027,2003,Alabama,AL,1,"Clay County, AL",14203,4
01027,2004,Alabama,AL,1,"Clay County, AL",14121,4
01027,2005,Alabama,AL,1,"Clay County, AL",14077,4
01027,2006,Alabama,AL,1,"Clay County, AL",14053,4
01027,2007,Alabama,AL,1,"Clay County, AL",14085,6
01027,2008,Alabama,AL,1,"Clay County, AL",14161,6
01027,2009,Alabama,AL,1,"Clay County, AL",14006,6
01027,2010,Alabama,AL,1,"Clay County, AL",13886,8
01027,2011,Alabama,AL,1,"Clay County, AL",13677,8
01027,2012,Alabama,AL,1,"Clay County, AL",13465,8
01027,2013,Alabama,AL,1,"Clay County, AL",13506,10
01027,2014,Alabama,AL,1,"Clay County, AL",13552,12
01029,1999,Alabama,AL,1,"Cleburne County, AL",14039,4
01029,2000,Alabama,AL,1,"Cleburne County, AL",14172,4
01029,2001,Alabama,AL,1,"Cleburne County, AL",14222,4
01029,2002,Alabama,AL,1,"Cleburne County, AL",14416,6
01029,2003,Alabama,AL,1,"Cleburne County, AL",14438,6
01029,2004,Alabama,AL,1,"Cleburne County, AL",14339,6
